Date,Time,Open,High,Low,Close,TickVol,Vol,Spread
2025.03.07,03:00:00,2904.91,2906.52,2902.3,2903.5,2431,0,11
2025.03.07,03:15:00,2903.42,2904.29,2901.53,2902.97,1652,0,11
2025.03.07,03:30:00,2903.0,2910.03,2901.47,2910.01,1900,0,11
2025.03.07,03:45:00,2910.07,2910.23,2905.8,2906.8,1678,0,11
2025.03.07,04:00:00,2906.74,2907.54,2901.2,2903.81,2263,0,11
2025.03.07,04:15:00,2903.82,2906.79,2903.21,2906.26,2432,0,11
2025.03.07,04:30:00,2906.32,2908.0,2904.29,2907.37,1898,0,11
2025.03.07,04:45:00,2907.37,2909.26,2907.19,2908.17,1719,0,11
2025.03.07,05:00:00,2908.2,2908.96,2904.8,2905.11,1950,0,11
2025.03.07,05:15:00,2905.09,2906.51,2904.14,2906.0,2171,0,11
2025.03.07,05:30:00,2906.02,2906.69,2904.56,2904.98,1026,0,11
2025.03.07,05:45:00,2904.99,2906.1,2904.04,2905.38,996,0,11
2025.03.07,06:00:00,2905.35,2907.78,2904.68,2907.08,1834,0,11
2025.03.07,06:15:00,2907.07,2907.07,2905.26,2906.58,1061,0,11
2025.03.07,06:30:00,2906.61,2907.25,2905.77,2907.15,1195,0,11
2025.03.07,06:45:00,2907.25,2908.43,2906.38,2906.64,949,0,11
2025.03.07,07:00:00,2906.7,2909.71,2906.44,2908.66,1308,0,11
2025.03.07,07:15:00,2908.64,2911.87,2908.64,2911.43,2069,0,11
2025.03.07,07:30:00,2911.44,2912.62,2909.99,2910.71,2488,0,11
2025.03.07,07:45:00,2910.7,2911.71,2908.96,2909.58,1942,0,11
2025.03.07,08:00:00,2909.59,2910.33,2907.78,2909.92,1760,0,11
2025.03.07,08:15:00,2909.91,2912.04,2909.46,2911.64,1595,0,11
2025.03.07,08:30:00,2911.64,2914.85,2911.62,2913.69,1468,0,11
2025.03.07,08:45:00,2913.69,2913.86,2910.92,2913.5,1754,0,11
2025.03.07,09:00:00,2913.48,2914.74,2911.74,2913.88,1752,0,13
2025.03.07,09:15:00,2913.87,2914.62,2912.17,2912.22,1212,0,15
2025.03.07,09:30:00,2912.07,2915.32,2911.68,2915.11,1169,0,15
2025.03.07,09:45:00,2915.1,2917.29,2914.81,2917.15,1568,0,15
2025.03.07,10:00:00,2917.16,2919.39,2915.28,2916.62,2065,0,15
2025.03.07,10:15:00,2916.65,2920.5,2916.58,2920.09,1633,0,15
2025.03.07,10:30:00,2920.24,2921.16,2919.25,2920.96,1305,0,15
2025.03.07,10:45:00,2920.91,2923.0,2920.75,2922.46,1389,0,15
2025.03.07,11:00:00,2922.48,2923.07,2921.37,2922.37,1766,0,15
2025.03.07,11:15:00,2922.4,2922.75,2921.17,2922.39,1608,0,15
2025.03.07,11:30:00,2922.38,2922.65,2921.21,2922.07,1330,0,0
2025.03.07,11:45:00,2922.1,2922.98,2920.23,2921.55,838,0,0
2025.03.07,12:00:00,2921.55,2921.89,2918.95,2920.54,1482,0,12
2025.03.07,12:15:00,2920.56,2920.56,2917.14,2919.18,1910,0,15
2025.03.07,12:30:00,2919.17,2921.34,2917.8,2919.91,2084,0,15
2025.03.07,12:45:00,2919.89,2919.91,2917.1,2918.02,1636,0,15
2025.03.07,13:00:00,2917.98,2921.7,2917.14,2921.63,1815,0,15
2025.03.07,13:15:00,2921.59,2922.18,2919.25,2920.21,1644,0,15
2025.03.07,13:30:00,2920.17,2921.3,2918.65,2919.52,1920,0,15
2025.03.07,13:45:00,2919.48,2919.55,2916.72,2918.82,2109,0,15
2025.03.07,14:00:00,2918.8,2919.64,2918.05,2919.64,1671,0,15
2025.03.07,14:15:00,2919.63,2922.66,2918.18,2921.46,1963,0,15
2025.03.07,14:30:00,2921.57,2922.86,2920.95,2921.81,1883,0,15
2025.03.07,14:45:00,2921.73,2922.09,2918.73,2918.76,2199,0,15
2025.03.07,15:00:00,2918.73,2920.5,2916.82,2918.01,2524,0,15
2025.03.07,15:15:00,2918.1,2918.1,2910.35,2912.2,2263,0,10
2025.03.07,15:30:00,2912.09,2926.47,2911.94,2922.9,3036,0,10
2025.03.07,15:45:00,2922.89,2922.89,2913.02,2913.89,2549,0,15
2025.03.07,16:00:00,2913.78,2915.08,2903.78,2913.42,2617,0,15
2025.03.07,16:15:00,2913.45,2918.74,2912.26,2916.93,2083,0,15
2025.03.07,16:30:00,2917.03,2922.12,2916.74,2919.8,2590,0,15
2025.03.07,16:45:00,2919.77,2928.9,2918.02,2926.74,2608,0,15
2025.03.07,17:00:00,2926.75,2930.39,2926.03,2927.36,2525,0,15
2025.03.07,17:15:00,2927.34,2928.78,2922.54,2925.0,2270,0,15
2025.03.07,17:30:00,2924.91,2926.23,2912.66,2914.44,2517,0,15
2025.03.07,17:45:00,2914.46,2917.77,2908.6,2915.8,2693,0,15
2025.03.07,18:00:00,2915.72,2917.58,2911.66,2916.01,2435,0,15
2025.03.07,18:15:00,2916.03,2919.43,2916.03,2916.88,1920,0,15
2025.03.07,18:30:00,2916.89,2917.38,2913.11,2913.69,2346,0,15
2025.03.07,18:45:00,2913.66,2919.17,2912.42,2914.01,2032,0,15
2025.03.07,19:00:00,2913.99,2916.15,2907.97,2911.01,2332,0,15
2025.03.07,19:15:00,2911.04,2911.11,2905.15,2908.95,1965,0,15
2025.03.07,19:30:00,2908.96,2910.3,2906.05,2907.54,1736,0,15
2025.03.07,19:45:00,2907.47,2909.39,2906.02,2908.25,2132,0,15
2025.03.07,20:00:00,2908.26,2908.73,2905.56,2906.09,1978,0,15
